"Effective February 1, 2025",,
,,
,Part ID,LIST PRICE
,CM18TH1US,"$3,891.00 "
,CM18TH3RS,"$3,891.00 "
,CM18TH3US,"$3,891.00 "
,CM18VH1RS,"$4,134.00 "
,CM18VH1US,"$4,134.00 "
,CM18VH3RS,"$4,134.00 "
,CM18VH3US,"$4,134.00 "
,CM18WH3RS,"$4,724.00 "
,CM18WH3US,"$4,724.00 "
,CM18XH3RS,"$4,700.00 "
,CM18XH3US,"$4,700.00 "
,CM20PH1RS,"$4,175.00 "
,CM20PH1US,"$4,175.00 "
,CM20PH3RS,"$4,175.00 "
,CM20PH3US,"$4,175.00 "
,CM20QH1RS,"$4,245.00 "
,CM20QH1US,"$4,245.00 "
,CM20QH3RS,"$4,245.00 "
,CM20QH3US,"$4,245.00 "
,CM20RH1RS,"$4,313.00 "
,CM20RH1US,"$4,313.00 "
,CM20RH3RS,"$4,313.00 "
,CM20RH3US,"$4,313.00 "
,CM20SH1RS,"$4,268.00 "
,CM20SH1US,"$4,268.00 "
,CM20SH3RS,"$4,268.00 "
,CM20SH3US,"$4,268.00 "
,CM20TH1RS,"$4,370.00 "
,CM20TH1US,"$4,370.00 "
,CM20TH3RS,"$4,370.00 "
,CM20TH3US,"$4,370.00 "
,CM20VH1RS,"$4,900.00 "
,CM20VH1US,"$4,900.00 "
,CM20VH3RS,"$4,900.00 "
,CM20VH3US,"$4,900.00 "
,CM20WH3RS,"$5,200.00 "
,CM20WH3US,"$5,200.00 "
,CM20XH3RS,"$5,200.00 "
,CM20XH3US,"$5,200.00 "
,CM22PH1RS,"$4,442.00 "
,CM22PH1US,"$4,442.00 "
,CM22PH3RS,"$4,442.00 "
,CM22PH3US,"$4,442.00 "
,CM22QH1RS,"$4,526.00 "
,CM22QH1US,"$4,526.00 "
,CM22QH3RS,"$4,526.00 "
,CM22QH3US,"$4,526.00 "
,CM22RH1RS,"$4,611.00 "
,CM22RH1US,"$4,611.00 "
,CM22RH3RS,"$4,611.00 "
,CM22RH3US,"$4,611.00 "
,CM22SH1RS,"$4,562.00 "
,CM22SH1US,"$4,562.00 "
,CM22SH3RS,"$4,562.00 "
,CM22SH3US,"$4,562.00 "
,CM22TH1RS,"$4,678.00 "
,CM22TH1US,"$4,678.00 "
,CM22TH3RS,"$4,678.00 "
,CM22TH3US,"$4,678.00 "
,CM22VH1RS,"$4,847.00 "
,CM22VH1US,"$4,847.00 "
,CM22VH3RS,"$4,847.00 "
,CM22VH3US,"$4,847.00 "
,CM22WH3RS,"$5,248.00 "
,CM22WH3US,"$5,248.00 "
,CM22XH3RS,"$5,538.00 "
,CM22XH3US,"$5,538.00 "
,CM22YH3RS,"$6,310.00 "
,CM22YH3US,"$6,310.00 "
,CM24QH3RS,"$5,142.00 "
,CM24QH3US,"$5,142.00 "
,CM24RH3RS,"$5,188.00 "
,CM24RH3US,"$5,188.00 "
,CM24SH1RS,"$5,182.00 "
,CM24SH1US,"$5,182.00 "
,CM24SH3RS,"$5,182.00 "
,CM24SH3US,"$5,182.00 "
,CM24TH1RS,"$5,278.00 "
,CM24TH1US,"$5,278.00 "
,CM24TH3RS,"$5,278.00 "
,CM24TH3US,"$5,278.00 "
,CM24VH1RS,"$5,421.00 "
,CM24VH1US,"$5,421.00 "
,CM24VH3RS,"$5,421.00 "
,CM24VH3US,"$5,421.00 "
,CM24WH3RS,"$5,722.00 "
,CM24WH3US,"$5,722.00 "
,CM24XH3RS,"$6,088.00 "
,CM24XH3US,"$6,088.00 "
,CM24YH3RS,"$6,787.00 "
,CM24YH3US,"$6,787.00 "
,CM24ZH3RS,"$7,000.00 "
,CM24ZH3US,"$7,000.00 "
,CM27QH3RS,"$5,695.00 "
,CM27QH3US,"$5,695.00 "
,CM27RH3RS,"$5,667.00 "
,CM27RH3US,"$5,667.00 "
,CM27SH1RS,"$5,638.00 "
,CM27SH1US,"$5,638.00 "
,CM27SH3RS,"$5,638.00 "
,CM27SH3US,"$5,638.00 "
,CM27TH1RS,"$5,748.00 "
,CM27TH1US,"$5,748.00 "
,CM27TH3RS,"$5,748.00 "
,CM27TH3US,"$5,748.00 "
,CM27VH1RS,"$5,881.00 "
,CM27VH1US,"$5,881.00 "
,CM27VH3RS,"$5,881.00 "
,CM27VH3US,"$5,881.00 "
,CM27WH3RS,"$6,181.00 "
,CM27WH3US,"$6,181.00 "
,CM27XH3RS,"$6,430.00 "
,CM27XH3US,"$6,430.00 "
,CM27YH3RS,"$7,122.00 "
,CM27YH3US,"$7,122.00 "
,CM27ZH3RS,"$7,500.00 "
,CM27ZH3US,"$7,500.00 "
,CM30RH3RS,"$7,325.00 "
,CM30RH3US,"$7,325.00 "
,CM30SH3RS,"$6,809.00 "
,CM30SH3US,"$6,809.00 "
,CM30TH1RS,"$6,818.00 "
,CM30TH1US,"$6,818.00 "
,CM30TH3RS,"$6,818.00 "
,CM30TH3US,"$6,818.00 "
,CM30VH1RS,"$6,890.00 "
,CM30VH1US,"$6,890.00 "
,CM30VH3RS,"$6,890.00 "
,CM30VH3US,"$6,890.00 "
,CM30WH3RS,"$7,500.00 "
,CM30WH3US,"$7,500.00 "
,CM30XH3RS,"$7,711.00 "
,CM30XH3US,"$7,711.00 "
,CM30YH3RS,"$8,133.00 "
,CM30YH3US,"$8,133.00 "
,CM30ZH3RS,"$8,000.00 "
,CM30ZH3US,"$8,000.00 "
,CM36SH3RS,"$10,518.00 "
,CM36SH3US,"$10,518.00 "
,CM36TH3RS,"$10,101.00 "
,CM36TH3US,"$10,101.00 "
,CM36VH1RS,"$10,570.00 "
,CM36VH1US,"$10,570.00 "
,CM36VH3RS,"$10,570.00 "
,CM36VH3US,"$10,570.00 "
,CM36WH3RS,"$11,100.00 "
,CM36WH3US,"$11,100.00 "
,CM36XH3RS,"$10,745.00 "
,CM36XH3US,"$10,745.00 "
,CM36YH3RS,"$11,567.00 "
,CM36YH3US,"$11,567.00 "
,CM36ZH3RS,"$12,000.00 "
,CM36ZH3US,"$12,000.00 "
,CS-325,$96.00 
,CWD07HH1AS,$916.00 
,CWD09MH1AS,"$1,286.00 "
,CWD09MH1CS,"$1,321.00 "
,CWD09MM1AS,"$1,361.00 "
,CWD09MM1CS,"$1,401.00 "
,CWD10PH1AS,"$1,380.00 "
,CWD10PH1CS,"$1,419.00 "
,CWD12MM1AS,"$1,556.00 "
,CWD12MM1CS,"$1,706.00 "
,CWD14QM1AS,"$2,070.00 "
,CWD14QM1CS,"$2,124.00 "
,DBF-100XC,$372.00 
,DC-4,$14.00 
,DC-6,$13.00 
,DFL18,$393.00 
,DFL18-F,$462.00 
,DFL24,$497.00 
,DFL24-F,$568.00 
,DFL30,$661.00 
,DFL30-F,$741.00 
,DFL36,$826.00 
,DFL36-F,$927.00 
,DFL48,"$1,265.00 "
,DFL48-F,"$1,380.00 "
,DH6-120V,$777.00 
,EAS12,$108.00 
,EAS1232MTR,$284.00 
,EAS12-RF,$108.00 
,EAS16,$130.00 
,EAS16-RF,$140.00 
,EAS20,$192.00 
,EAS20-RF,$162.00 
,EAS24-RF,$199.00 
,EAS26,$215.00 
,EAS30-RF,$230.00 
,EAS32,$260.00 
,EAS36-RF,$309.00 
,EAS38,$354.00 
,EAS3850MTR,$374.00 
,EAS42-RF,$452.00 
,EAS44,$490.00 
,EAS50,$563.00 
,EASB36,$288.00 
,EASB39,$333.00 
,EASB51,$512.00 
,EASB54,$542.00 
,EAS-HDGS12,$158.00 
,EAS-HDGS16,$209.00 
,EAS-HDGS20,$257.00 
,EAS-HDGS24,$312.00 
,EAS-HDGS30,$378.00 
,EAS-HDGS36,$497.00 
,EAS-HDGS42,$762.00 
,EAS-HDGS48,$898.00 
,EASW36,$288.00 
,EASW39,$333.00 
,EASW51,$512.00 
,EASW54,$542.00 
,EPBT-60,$101.00 
,ES24V,$111.00 
,FA10-G,$97.00 
,FA10-P,$97.00 
,FA12-G,$104.00 
,FA12-P,$104.00 
,FA8-G,$85.00 
,FA8-P,$85.00 
,FB4,$94.00 
,FB5,$94.00 
,FB6,$94.00 
,FGS12,$204.00 
,FGS16,$259.00 
,FGS20,$305.00 
,FGS24,$366.00 
,FGS30,$428.00 
,FGS36,$565.00 
,FGS42,$846.00 
,FGS48,$977.00 
,FLTD-60,$283.00 
,FT247,$96.00 
,FT622,$186.00 
,G102,$154.00 
,GED10JH1AS,$576.00 
,GED12JH1AS,$577.00 
,GED12MH1AS,$635.00 
,GED14MH1AS,$669.00 
,GED14QH1AS,$766.00 
,GED16MM1AS,$725.00 
,GED16PH1AS,$856.00 
,GED18MH1AS,$799.00 
,GED18MM1AS,$769.00 
,GED18QH1AS,$900.00 
,GED20MM1AS,$864.00 
,GED20QH1AS,$912.00 
,GFL18,$268.00 
,GFL24,$373.00 
,GFL30,$496.00 
,GFL36,$619.00 
,GFL48,$952.00 
,GMD12,$618.00 
,GMD16,$627.00 
,GMD20,$645.00 
,GMD24,$669.00 
,GMD30,"$1,044.00 "
,GMD36,"$1,195.00 "
,GMD42,"$1,393.00 "
,GMD48,"$1,473.00 "
,GRA-100,$21.00 
,GRA-125,$25.00 
,GRA-150,$29.00 
,GRA-200,$37.00 
,IL-115,$616.00 
,IL-230,$616.00 
,KIT-PV100X,$287.00 
,KIT-PV100X-DV,$338.00 
,KIT-PV150X,$362.00 
,KIT-PV150X-DV,$425.00 
,KIT-PV200X-DV,$576.00 
,KIT-TD100,$197.00 
,KIT-TD100X1,$226.00 
,KIT-TD100X1F,$331.00 
,KIT-TD100X1H,$331.00 
,KIT-TD100X1L,$373.00 
,KIT-TD150,$330.00 
,KIT-TD150-DV,$390.00 
,KIT-TD150F,$596.00 
,KIT-TD150H,$596.00 
,KIT-TD150L,$684.00 
,KSFV09MH1S,"$1,481.00 "
,KSFV09MH3S,"$1,509.00 "
,KSFV09ML1S,"$1,505.00 "
,KSFV09ML3S,"$1,535.00 "
,KSFV09MM1S,"$1,478.00 "
,KSFV09MM3S,"$1,508.00 "
,KSFV09PH1S,"$1,508.00 "
,KSFV09PH3S,"$1,542.00 "
,KSFV09QH1S,"$1,586.00 "
,KSFV09QH3S,"$1,544.00 "
,KSFV09RH1S,"$1,627.00 "
,KSFV09RH3S,"$1,549.00 "
,KSFV09SH1S,"$1,659.00 "
,KSFV09SH3S,"$1,557.00 "
,KSFV10MH1S,"$1,653.00 "
,KSFV10MH3S,"$1,707.00 "
